state code,state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se, pooled_pooled_count ,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se, white_pooled_count , black_pooled_count , hisp_pooled_count ,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se, pooled_male_count , pooled_female_count ,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se, white_male_count , black_male_count , hisp_male_count , white_female_count , black_female_count , hisp_female_count 
1,ALABAMA,1,11101,Montgomery,0.36,0.01,0.03,0.0,"  5,922 ",0.31,0.01,0.42,0.04,0.41,0.01,0.05,0.01,0.05,0.04,0.01,0.0,"  3,613 ","  1,978 ",  104 ,0.37,0.01,0.35,0.01,0.01,0.0,0.06,0.01,"  3,040 ","  2,882 ",0.32,0.01,0.44,0.05,0.42,0.01,0.3,0.01,0.41,0.05,0.4,0.01,0.01,0.0,0.04,0.03,0.0,0.0,0.11,0.02,0.058,0.06,0.025,0.007,"  1,874 ",  989 ,  50 ,"  1,739 ",  989 ,  54 
1,ALABAMA,3,11001,Mobile,0.39,0.0,0.02,0.0,"  15,458 ",0.3,0.01,0.45,0.02,0.43,0.0,0.04,0.01,0.03,0.02,0.02,0.0,"  10,771 ","  3,880 ",  429 ,0.4,0.01,0.38,0.01,0.01,0.0,0.04,0.0,"  7,963 ","  7,496 ",0.31,0.01,0.46,0.03,0.44,0.01,0.3,0.01,0.43,0.03,0.42,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.054,0.03,0.03,0.005,"  5,544 ","  1,965 ",  218 ,"  5,226 ","  1,916 ",  210 
1,ALABAMA,5,10301,Eufaula,0.35,0.01,0.03,0.01,"  4,864 ",0.31,0.01,,,0.43,0.01,0.05,0.01,,,0.01,0.0,"  1,358 ","  3,598 ",,0.36,0.01,0.34,0.01,0.0,0.0,0.07,0.01,"  2,492 ","  2,372 ",0.31,0.01,,,0.44,0.02,0.31,0.01,,,0.43,0.02,0.0,0.0,,,0.0,0.0,0.11,0.02,,,0.009,0.007,  730 ,"  1,787 ",,  630 ,"  1,806 ",
1,ALABAMA,7,10801,Tuscaloosa,0.36,0.01,0.03,0.01,"  3,061 ",0.31,0.01,0.37,0.08,0.4,0.01,0.05,0.02,,,0.02,0.01,"  1,923 ","  1,179 ",  36 ,0.36,0.01,0.37,0.01,0.0,0.0,0.06,0.01,"  1,576 ","  1,486 ",0.31,0.02,,,0.39,0.02,0.31,0.02,,,0.41,0.02,0.0,0.0,,,0.01,0.0,0.12,0.04,,,0.039,0.014,  983 ,  614 ,,  941 ,  566 ,
1,ALABAMA,9,10700,Birmingham,0.39,0.01,0.02,0.0,"  6,741 ",0.31,0.03,0.45,0.02,0.4,0.01,0.02,0.03,0.01,0.01,0.02,0.0,"  5,728 ",  134 ,  853 ,0.4,0.01,0.38,0.01,0.01,0.0,0.03,0.01,"  3,444 ","  3,294 ",0.33,0.04,0.44,0.03,0.42,0.01,0.27,0.05,0.47,0.03,0.39,0.01,0.03,0.04,0.0,0.0,0.01,0.0,,,0.038,0.03,0.035,0.007,"  2,947 ",  71 ,  443 ,"  2,779 ",  64 ,  412 
1,ALABAMA,11,9800,Auburn,0.35,0.01,0.02,0.01,"  2,581 ",0.33,0.01,,,0.5,0.03,0.02,0.01,,,0.02,0.02,  206 ,"  2,302 ",,0.35,0.01,0.34,0.01,0.01,0.0,0.04,0.01,"  1,217 ","  1,365 ",0.33,0.01,,,0.5,0.05,0.32,0.01,,,0.49,0.05,0.01,0.0,,,0.0,0.01,0.04,0.01,,,0.027,0.032,  88 ,"  1,096 ",,  121 ,"  1,200 ",
1,ALABAMA,13,11101,Montgomery,0.36,0.01,0.02,0.0,"  4,093 ",0.31,0.01,0.31,0.05,0.43,0.01,0.03,0.01,0.01,0.02,0.01,0.0,"  1,398 ","  2,696 ",  24 ,0.36,0.01,0.36,0.01,0.0,0.0,0.04,0.01,"  2,107 ","  1,983 ",0.31,0.01,,,0.42,0.02,0.31,0.01,,,0.43,0.02,0.0,0.0,,,0.0,0.0,0.07,0.02,,,0.006,0.003,  739 ,"  1,382 ",,  659 ,"  1,315 ",
1,ALABAMA,15,9600,LaGrange,0.36,0.0,0.03,0.0,"  15,036 ",0.32,0.0,0.4,0.02,0.4,0.0,0.05,0.01,0.01,0.0,0.01,0.0,"  9,231 ","  5,060 ",  272 ,0.37,0.0,0.35,0.0,0.01,0.0,0.05,0.0,"  7,604 ","  7,432 ",0.33,0.01,0.38,0.03,0.41,0.01,0.3,0.01,0.42,0.03,0.39,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.006,0.01,0.022,0.004,"  4,677 ","  2,554 ",  118 ,"  4,552 ","  2,508 ",  159 
1,ALABAMA,17,9600,LaGrange,0.34,0.0,0.02,0.0,"  5,885 ",0.32,0.01,0.48,0.06,0.38,0.01,0.02,0.01,0.02,0.03,0.02,0.01,"  2,176 ","  3,628 ",  65 ,0.35,0.01,0.33,0.01,0.0,0.0,0.04,0.01,"  2,994 ","  2,893 ",0.32,0.01,,,0.38,0.01,0.31,0.01,,,0.38,0.01,0.0,0.0,,,0.0,0.0,0.05,0.01,,,0.037,0.011,"  1,129 ","  1,807 ",,"  1,048 ","  1,821 ",
1,ALABAMA,19,6600,Rome,0.37,0.01,0.02,0.01,"  3,304 ",0.31,0.02,0.36,0.05,0.39,0.01,0.07,0.03,-0.02,0.02,0.02,0.0,"  2,897 ",  254 ,  73 ,0.36,0.01,0.37,0.01,0.0,0.0,0.04,0.01,"  1,754 ","  1,552 ",0.31,0.03,,,0.39,0.01,0.3,0.04,,,0.38,0.01,0.0,0.01,,,0.0,0.0,0.13,0.06,,,0.031,0.009,"  1,538 ",  130 ,,"  1,361 ",  122 ,
