YEAR,STATE,BLACKM,BLACKF,WHITEM,WHITEF,JURTOTM,JURTOTF
1978,AL,3116,158,2097,100,5368,257
1978,AK,176,9,441,22,678,34
1978,AZ,641,42,2478,124,3275,181
1978,AR,1304,49,1207,45,2553,101
1978,CA,6743,379,12968,732,20178,1147
1978,CO,533,18,1862,46,2419,67
1978,CT,1351,60,2007,69,3044,145
1978,DE,706,39,555,25,1261,64
1978,DC,2672,54,84,5,2784,80
1978,FL,10156,534,9775,303,20572,864
1978,GA,6498,329,4308,219,10762,555
1978,HI,14,2,80,4,690,37
1978,ID,17,2,727,25,772,30
1978,IL,6304,220,4544,106,10918,340
1978,IN,1376,71,3374,98,4754,169
1978,IA,355,19,1603,59,1909,73
1978,KS,737,40,1406,56,2243,98
1978,KY,947,44,2332,67,3279,111
1978,LA,5099,136,1984,72,7083,208
1978,ME,8,0,676,15,695,16
1978,MD,5843,193,1854,51,7722,244
1978,MA,1008,42,1725,53,2724,82
1978,MI,8101,293,5590,115,14323,621
1978,MN,301,17,1421,67,1878,76
1978,MS,1860,73,925,37,2785,111
1978,MO,2728,91,2727,91,5455,182
1978,MT,10,0,558,14,675,15
1978,NE,422,32,787,43,1264,83
1978,NV,373,35,869,37,1274,76
1978,NH,6,0,270,6,277,6
1978,NJ,3502,108,2191,68,5693,176
1978,NM,172,10,1325,54,1526,67
1978,NY,10485,340,9032,211,19899,560
1978,NC,6856,321,5571,190,12718,534
1978,ND,4,0,159,3,196,4
1978,OH,6536,323,6033,215,12569,538
1978,OK,1139,73,2588,99,4010,176
1978,OR,228,32,2417,81,2757,122
1978,PA,4194,125,3487,110,7585,229
1978,RI,152,5,478,8,648,16
1978,SC,4028,178,3054,132,7234,302
1978,SD,10,0,362,13,514,18
1978,TN,2647,125,2927,136,5574,261
1978,TX,10015,495,13555,510,23570,1005
1978,UT,71,5,788,26,875,36
1978,VT,1,0,452,11,430,11
1978,VA,4735,231,3226,127,7985,359
1978,WA,843,71,3228,145,4251,236
1978,WV,180,9,976,19,1208,29
1978,WI,1266,76,1926,69,3285,147
1978,WY,0,1,414,14,414,19
1978,ST,126469,5509,135423,4947,266555,10918
1978,US,136893,6483,151534,5674,294530,12746
1978,FE,10424,974,16111,727,27975,1828
1979,AL,2880,161,2211,91,5221,243
1979,AK,81,7,388,19,729,31
1979,AZ,687,33,2520,115,3573,176
1979,AR,1539,54,1312,58,2927,115
1979,CA,7323,423,13630,755,21400,1232
1979,CO,542,17,1895,46,2587,81
1979,CT,1649,87,2262,55,3919,142
1979,DE,813,45,541,19,1355,64
1979,DC,2812,71,87,3,2899,74
1979,FL,9564,513,9735,315,18919,829
1979,GA,6839,326,4695,232,11556,550
1979,HI,17,2,84,8,809,47
1979,ID,16,4,765,26,796,34
1979,IL,6398,245,4552,107,11469,466
1979,IN,1467,86,4002,106,5475,192
1979,IA,341,8,1591,62,2176,96
1979,KS,757,33,1417,46,2208,82
1979,KY,1022,47,2528,94,3550,141
1979,LA,5229,166,2153,70,7382,236
1979,ME,8,0,739,17,758,18
