Year,Total_Population,Total_Below_Poverty_Number,Total_Below_Poverty_Percent,Families_Total,Families_Below_Poverty_Number,Families_Below_Poverty_Percent,Female_Householder_Total,Female_Householder_Below_Poverty_Number,Female_Householder_Below_Poverty_Percent,Unrelated_Individuals_Total,Unrelated_Individuals_Below_Poverty_Number,Unrelated_Individuals_Below_Poverty_Percent
2023,249500,24290,9.7,199700,15450,7.7,28900,6221,21.5,49130,8632,17.6
2022,248800,26050,10.5,199500,16820,8.4,28360,6772,23.9,48650,9040,18.6
2021,248900,24920,10,199300,15800,7.9,28960,6575,22.7,48790,8877,18.2
2020,249100,25180,10.1,200200,16460,8.2,29830,6993,23.4,48040,8456,17.6
2019,248100,22510,9.1,201000,14300,7.1,27850,6007,21.6,46330,7998,17.3
2018,247600,24950,10.1,200500,16240,8.1,28380,6972,24.6,46340,8429,18.2
2017,247300,26030,10.5,200300,17020,8.5,28670,7399,25.8,46150,8731,18.9
2016,246000,27110,11,199300,18020,9,29420,7793,26.5,45640,8661,19
2015,245500,28570,11.6,198600,19440,9.8,29400,8205,27.9,45960,8717,19
2014,244300,31090,12.7,197600,21070,10.7,29130,8680,29.8,45410,9476,20.9
2013,243300,31290,12.9,198000,21490,10.8,30430,9796,32.2,43920,9132,20.8
2012,242100,30820,12.7,196400,21330,10.9,28710,8691,30.3,44510,8940,20.1
2011,241300,30850,12.8,196700,21460,10.9,29640,8999,30.4,43300,8809,20.3
2010,240000,31080,13,195400,21540,11,28030,8721,31.1,43320,8971,20.7
2009,242000,29830,12.3,197900,20700,10.5,28160,8283,29.4,43010,8580,19.9
2008,240500,26990,11.2,197800,18560,9.4,27010,7340,27.2,41810,7982,19.1
2007,239100,25120,10.5,195900,17140,8.7,27160,7188,26.5,41930,7505,17.9
2006,237600,24420,10.3,196100,16640,8.5,27060,7160,26.5,40460,7334,18.1
2005,235400,24870,10.6,194300,16780,8.6,25940,7021,27.1,40160,7718,19.2
2004,233700,25330,10.8,193000,17450,9,26140,6892,26.4,39710,7416,18.7
2003,231900,24270,10.5,192100,16740,8.7,25540,6530,25.6,38910,7225,18.6
2002,230400,23470,10.2,190800,16040,8.4,24900,5992,24.1,38580,7105,18.4
